Fecha,DI-001 NIVEL,PV Nivel FT310,FDBK Nivel FT310,OP Nivel FT310,PV Nivel FT311,FDBK Nivel FT311,OP Nivel FT311,PV Nivel FT312,FDBK Nivel FT312,OP Nivel FT312,PV Nivel FT313,FDBK Nivel FT313,OP Nivel FT313,PV Nivel FT314,FDBK Nivel FT314,OP Nivel FT314,PV Nivel FT315,FDBK Nivel FT315,OP Nivel FT315,PV Nivel FT316,FDBK Nivel FT316,OP Nivel FT316,PV Nivel FT317,FDBK Nivel FT317,OP Nivel FT317,PV Aire FT310,PV Aire FT311,PV Aire FT312,PV Aire FT313,PV Aire FT314,PV Aire FT315,PV Aire FT316,PV Aire FT317
2024-04-04T16:41:45.000Z,93.4383621216,23.8949985504,64.5799407959,65.0,8.4443950653,68.4448623657,68.5840835571,2.649664402,58.2620506287,58.7065620422,10.811548233,88.8913192749,89.5605545044,7.5576462746,47.0223350525,48.0235176086,6.2693457603,90.9203948975,91.0000457764,7.4119143486,64.1176376343,64.1437149048,7.2546248436,63.5680580139,63.6755485535,60.1133537292,200.3464813232,260.2032470703,89.8567962646,70.1565170288,70.1705627441,70.1253051758,59.9759483337
2024-04-04T16:41:50.000Z,93.3783111572,25.5916786194,64.5692520142,65.0,8.542757988,68.3447341919,68.4295883179,2.5519955158,58.3543930054,59.5998153687,10.4436044693,89.2209625244,89.4132003784,7.6519608498,47.2246551514,47.7146987915,6.9767513275,89.9078979492,90.5798339844,7.2233161926000005,64.1176986694,64.2451019287,7.1144518852,63.6133575439,63.6579971313,60.2092475891,200.3929138184,260.2415161133,89.8973999023,70.1949081421,70.2153396606,70.1570205688,60.0116615295
2024-04-04T16:41:55.000Z,93.3059234619,27.038192749,64.5626754761,65.0,8.8142871857,68.0547561646,68.2750930786,2.3510878086,58.4467391968,60.4930686951,10.2509918213,89.3856811523,89.265838623,7.83608675,47.1525154114,47.4058799744,7.5817666054,89.4702224731,90.1596298218,7.0347185135,64.1177597046,64.346496582,7.0870776176,63.6586532593,63.6404457092,60.1956710815,200.4393463135,260.165222168,89.93800354,70.2333068848,70.2601242065,70.1302108765,60.0473709106
2024-04-04T16:42:00.000Z,93.1827316284,27.4346199036,64.5733642578,65.0,9.0858154297,67.7647857666,68.2459487915,2.1501801014,58.5390853882,59.5582275391,10.0583791733,89.5503997803,89.1125869751,8.0202121735,47.0803756714,47.3237915039,8.1867818832,89.0325469971,90.0872879028,6.8461203575,64.1178207397,64.107963562,7.0597038269,63.7039527893,63.3866119385,59.7225875854,200.4857788086,260.0889282227,89.9786071777,70.2717056274,70.304901123,70.1034088135,60.0830841064
2024-04-04T16:42:05.000Z,93.0595397949,27.8310470581,64.5840530396,65.0,9.2590332031,67.5940628052,68.3031234741,2.1655676365,58.1824798584,57.3645210266,9.797326088,89.7151184082,88.9552841187,8.1370372772,47.0082359314,47.3978347778,8.4419603348,89.0520858765,90.2545013428,6.9849987030000005,64.0662536621,63.635345459,7.183983326,63.5608291626,62.9700660706,59.2495002747,200.3806762695,259.9292602539,89.9889221191,70.2511978149,70.2844619751,70.0766067505,60.0946846008
2024-04-04T16:42:10.000Z,92.9599990845,28.074930191,64.5885848999,65.0,9.277832031199999,67.6106414795,68.3603057861,2.520690918,57.1207046509,55.1708145142,9.4287729263,89.8798370361,88.7979736328,8.1481542587,46.9360923767,47.4718742371,8.147649765,89.7897720337,90.4217147827,7.6382446289,63.9335899353,63.162727356,7.5464653969,63.1217498779,62.5535163879,58.9375686646,200.0375976562,259.6386108398,89.9516525269,70.1381607056,70.1615905762,70.0497970581,60.0684165955
2024-04-04T16:42:15.000Z,92.9599990845,27.6768627167,64.5672073364,65.0,9.296631813,67.6272277832,68.4128341675,2.8758144379,56.0589294434,55.3766403198,9.060218811,90.0445556641,88.97605896,8.1592702866,46.8639526367,47.4334831238,7.8533382416,90.5274581909,90.1845626831,8.2914905548,63.8009262085,63.0032615662,7.9089474678,62.6826705933,62.5169525146,59.3038520813,199.6945037842,259.3479919434,89.914390564,70.0251235962,70.0387191772,70.0229949951,60.0421485901
2024-04-04T16:42:20.000Z,92.9599990845,27.278793335,64.5458221436,65.0,9.2608146667,67.7245178223,68.4621505737,2.9728112221,56.1389198303,57.2375679016,9.1022090912,89.918586731,89.3854980469,8.1703872681,46.7206535339,47.3175392151,7.9581446648,90.6627349854,89.6684799194,8.6219100952,63.6682624817,63.059803009,8.1253290176,62.5094032288,62.7424812317,59.670135498,199.5368347168,259.1891784668,89.8771209717,69.9760513306,69.9838180542,69.9961853027,60.0158805847
2024-04-04T16:42:25.000Z,92.9548873901,26.9569950104,64.5285415649,65.0,9.1390666962,67.9487762451,68.5114746094,2.6636846066,58.0153007507,59.0984916687,9.7901287079,89.3352661133,89.7949371338,8.1815032959,46.4653892517,47.2015953064,8.69090271,89.8502120972,89.1524047852,8.4444112778,63.5355987549,63.1163406372,8.1118431091,62.7543487549,62.9680099487,59.9369354248,199.6708984375,259.2377319336,89.8398590088,70.027633667,70.0358581543,69.9693832397,59.9896125793
2024-04-04T16:42:30.000Z,92.9282302856,26.9569950104,64.5285415649,65.0,9.0173196793,68.173034668,68.5406036377,2.354557991,59.8916854858,59.6527404785,10.4780483246,88.7519454956,89.8014373779,8.1926202774,46.2101249695,47.2941131592,9.4236602783,89.037689209,89.4301071167,8.2669115067,63.4029388428,63.3462028503,8.0983581543,62.9992980957,63.1536026001,59.7839889526,199.8049468994,259.286315918,89.8025894165,70.079208374,70.087890625,69.9425811768,59.963344574
2024-04-04T16:42:35.000Z,92.9015655518,26.9569950104,64.5285415649,65.0,8.937011718800001,68.2700042725,68.5557861328,2.2447400093,60.4247589111,59.3041877747,10.6729927063,88.6586990356,89.5295410156,8.0916519165,46.2866096497,47.5306549072,9.7906665802,88.7774124146,90.2562408447,8.0894117355,63.3204154968,63.69581604,8.0848722458,63.1122093201,63.3115997314,59.6310462952,199.9390106201,259.3937072754,89.7825546265,70.1307907104,70.1399307251,69.9292602539,59.9482803345
2024-04-04T16:42:40.000Z,92.8755340576,26.5695419312,64.5285415649,65.0,8.9220151901,68.1663589478,68.5709686279,2.4490323067,58.8407745361,58.9556350708,10.0910072327,89.3378067017,89.2576446533,7.8140397072,46.885925293,47.7671966553,9.5812473297,89.3874664307,91.0823745728,7.9119124413,63.3169136047,64.0454330444,8.071387291,63.0170288086,63.4695968628,59.5044593811,200.073059082,259.5938415527,89.7896575928,70.1823730469,70.1919708252,69.937210083,59.9508781433
2024-04-04T16:42:45.000Z,92.8522033691,24.5430965424,64.5285415649,65.0,8.9070186615,68.0627212524,68.5796890259,2.653324604,57.2567901611,58.3643035889,9.5090227127,90.0169143677,89.3861236572,7.536427021,47.485244751,47.75050354,9.3718271255,89.9975280762,91.0410842896,7.734413147,63.3134078979,64.159576416,8.0579013824,62.9218444824,63.3840141296,59.4893722534,200.2071228027,259.7939758301,89.7967681885,70.2339477539,70.2440109253,69.9451599121,59.9534759521
2024-04-04T16:42:50.000Z,92.8288726807,22.5166511536,64.5285415649,65.0,8.8920211792,67.9590759277,68.5839385986,2.7251951694,56.8094940186,57.6049613953,9.1750411987,90.34425354,89.7916717529,7.5325574875,47.6541633606,47.558555603,9.1624078751,90.2777252197,90.3994903564,7.5569133759,63.3099060059,64.1107711792,8.0444164276,62.9058570862,63.1298675537,59.4742851257,200.2167663574,259.8497924805,89.8038787842,70.2634048462,70.2720184326,69.9531097412,59.956073761
2024-04-04T16:42:55.000Z,92.8220825195,20.800693512,64.5305786133,65.0,8.8770246506,67.8554382324,68.5881881714,2.5880174637,58.1566314697,56.845615387,9.2325716019,90.1162643433,90.197227478,7.9608335495,47.1436309814,47.3666038513,8.9529886246,90.0371932983,89.7578964233,7.3794140816,63.3064041138,64.0619659424,8.0309305191,63.014881134,62.8757171631,59.4979629517,200.0300140381,259.677734375,89.8109893799,70.2579269409,70.2620925903,69.9610519409,59.9586715698
2024-04-04T16:43:00.000Z,92.8854064941,20.4015426636,64.541267395,65.0,8.8620281219,67.7518005371,68.5867614746,2.4508399963,59.5037689209,57.2735748291,9.2901029587,89.8882751465,89.8256378174,8.3891096115,46.6330986023,46.8091468811,8.7435693741,89.796661377,89.5106430054,7.2019147873,63.3029022217,63.9510955811,8.0174455643,63.1239089966,62.6372261047,59.6860427856,199.8432617188,259.5056762695,89.8180999756,70.252456665,70.252166748,69.96900177,59.9612693787
2024-04-04T16:43:05.000Z,92.9487304688,20.0023918152,64.5519638062,65.0,8.8470306396,67.7237548828,68.5814056396,2.4551143646,59.9050788879,58.5238952637,9.4708452225,89.6602783203,88.9157867432,8.7603063583,46.195526123,45.9985313416,8.6263237,89.556137085,89.5365219116,7.1902637482,63.2994003296,63.7972412109,8.204041481,62.9926223755,62.4095878601,59.8741226196,199.7624664307,259.4672851562,89.8252029419,70.2469787598,70.2422409058,69.9769515991,59.9638633728
2024-04-04T16:43:10.000Z,93.0469589233,19.78723526,64.5585784912,65.0,8.832034111,67.8152542114,68.5760498047,2.6830694675,58.8107376099,59.7742156982,9.8464241028,89.4322891235,88.0059356689,9.0412435532,45.8733253479,45.1879119873,8.65483284,89.3156051636,89.5624084473,7.4408726692,63.2958984375,63.6433868408,8.7070302963,62.4813346863,62.1819458008,59.9972229004,199.8492431641,259.6403198242,89.8323135376,70.2415084839,70.2323074341,69.9848937988,59.9664611816
2024-04-04T16:43:15.000Z,93.2935943604,20.3544425964,64.5478744507,65.0,8.8170366287,67.9067611694,68.4456939697,2.9110245705,57.7163963318,60.0334777832,10.2220029831,89.2042999268,88.221321106,9.3221797943,45.5511245728,45.3794593811,8.68334198,89.0750732422,89.760055542,7.6914815903000004,63.2923965454,63.2191963196,9.2100200653,61.9700469971,62.123588562,59.8440361023,199.9360198975,259.8133544922,89.8394241333,70.2360305786,70.2223815918,69.9928436279,59.9690589905
2024-04-04T16:43:20.000Z,93.540222168,20.9216518402,64.5371780396,65.0,8.8680181503,67.891456604,68.2296829224,3.00137043,57.2472305298,59.613658905,10.3253574371,89.2102508545,89.2077255249,9.3407716751,45.4066123962,46.2576942444,8.770813942,88.9869308472,90.0754013062,8.0549001694,63.1825370789,62.6097640991,9.3453207016,61.7730293274,62.1812324524,59.6908531189,200.0228118896,259.8995361328,89.846534729,70.2305603027,70.2124557495,70.000793457,59.9716567993
2024-04-04T16:43:25.000Z,93.7254180908,21.3792762756,64.5285415649,65.0,9.022108078,67.709236145,68.0136795044,2.8766601086,57.7550964355,59.1938400269,10.0032787323,89.5818099976,90.1941299438,8.9493703842,45.5397949219,47.1359291077,8.9504308701,89.1369476318,90.3907470703,8.5946187973,62.9064674377,62.0003356934,8.9059963226,62.067150116,62.2388725281,59.5684204102,200.109588623,259.8500671387,89.8536376953,70.2250823975,70.2025299072,70.0087432861,59.9742546082
2024-04-04T16:43:30.000Z,93.6486816406,21.3792762756,64.5285415649,65.0,9.1761989594,67.527015686,68.0729751587,2.7519495487,58.2629585266,58.9696311951,9.6811990738,89.9533691406,90.56615448,8.5579681396,45.6729774475,47.7255401611,9.1300487518,89.2869644165,90.4492340088,9.1343383789,62.6303977966,62.0436859131,8.4666719437,62.3612709045,62.2653045654,59.574432373,200.1963653564,259.800567627,89.860748291,70.2196121216,70.1925964355,70.0166854858,59.976852417
